
 SWITCH TARGET  x= 1.313042  y=0.808767

 SWITCH TARGET  x= 1.117436  y=0.772745

 SWITCH TARGET  x= 1.117436  y=0.772745

 SWITCH TARGET  x= 0.921627  y=0.737845

 SWITCH TARGET  x= 1.215587  y=0.788792

 SWITCH TARGET  x= 1.215587  y=0.788792

 SWITCH TARGET  x= 1.215587  y=0.788792

 SWITCH TARGET  x= 1.215587  y=0.788792

 SWITCH TARGET  x= 1.117427  y=0.772840

 SWITCH TARGET  x= 1.117427  y=0.772840

 SWITCH TARGET  x= 1.215691  y=0.788135

 SWITCH TARGET  x= 1.117384  y=0.773122

 SWITCH TARGET  x= 1.117384  y=0.773122

 SWITCH TARGET  x= 1.117384  y=0.773122

 SWITCH TARGET  x= 1.215870  y=0.786914

 SWITCH TARGET  x= 1.413241  y=0.811485

 SWITCH TARGET  x= 1.511939  y=0.823676

 SWITCH TARGET  x= 1.709425  y=0.847304

 SWITCH TARGET  x= 1.709425  y=0.847304

 SWITCH TARGET  x= 2.104747  y=0.891542

 SWITCH TARGET  x= 2.104758  y=0.891448

 SWITCH TARGET  x= 2.005896  y=0.880671

 SWITCH TARGET  x= 1.907024  y=0.869990

 SWITCH TARGET  x= 1.907024  y=0.869990

 SWITCH TARGET  x= 1.808142  y=0.859402

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.709249  y=0.848910

 SWITCH TARGET  x= 1.610347  y=0.838511

 SWITCH TARGET  x= 1.610347  y=0.838511

 SWITCH TARGET  x= 1.709259  y=0.848815

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838606

 SWITCH TARGET  x= 1.610337  y=0.838
